data;

set NODES := s 1 2 3 4 5 6 A B C D E F t;
set NODES_WITHOUT := 1 2 3 4 5 6 A B C D E F;

param F_GIVEN := 6;

param TIME
	:       s  1  2  3  4  5  6  A  B  C  D  E  F  t  :=
	s       0  0  0  0  0  0  0  0  0  0  0  0  0  0
	1       0  0  0  0  0  0  0  15 0  14 9  0  12 0
	2       0  0  0  0  0  0  0  0  12 16 0  10 0  0
	3       0  0  0  0  0  0  0  11 14 0  12 0  0  0
	4       0  0  0  0  0  0  0  0  16 11 0  12 0  0
	5       0  0  0  0  0  0  0  13 0  17 13 0  15 0
	6       0  0  0  0  0  0  0  11 0  0  0  16 18 0
	A       0  0  0  0  0  0  0  0  0  0  0  0  0  0
	B       0  0  0  0  0  0  0  0  0  0  0  0  0  0
	C       0  0  0  0  0  0  0  0  0  0  0  0  0  0
	D       0  0  0  0  0  0  0  0  0  0  0  0  0  0
	E       0  0  0  0  0  0  0  0  0  0  0  0  0  0
	F       0  0  0  0  0  0  0  0  0  0  0  0  0  0
	t       0  0  0  0  0  0  0  0  0  0  0  0  0  0  ;

param CAPACITY
	:       s  1  2  3  4  5  6  A  B  C  D  E  F  t  :=
	s       0  1  1  1  1  1  1  0  0  0  0  0  0  0
	1       0  0  0  0  0  0  0  1  0  1  1  0  1  0
	2       0  0  0  0  0  0  0  0  1  1  0  1  0  0
	3       0  0  0  0  0  0  0  1  1  0  1  0  0  0
	4       0  0  0  0  0  0  0  0  1  1  0  1  0  0
	5       0  0  0  0  0  0  0  1  0  1  1  0  1  0
	6       0  0  0  0  0  0  0  1  0  0  0  1  1  0
	A       0  0  0  0  0  0  0  0  0  0  0  0  0  1
	B       0  0  0  0  0  0  0  0  0  0  0  0  0  1
	C       0  0  0  0  0  0  0  0  0  0  0  0  0  1
	D       0  0  0  0  0  0  0  0  0  0  0  0  0  1
	E       0  0  0  0  0  0  0  0  0  0  0  0  0  1
	F       0  0  0  0  0  0  0  0  0  0  0  0  0  1
	t       0  0  0  0  0  0  0  0  0  0  0  0  0  0  ;

